release_year,avg_duration
1960,245.11764705882354
1961,242.23529411764707
1962,254.25
1963,208.1818181818182
1964,285.2857142857143
1965,240.63636363636363
1966,240.15384615384616
1967,248.5
1968,237.21428571428572
1969,224.77777777777777
1970,259.5833333333333
1971,212.73684210526315
1972,252.45454545454547
1973,252.91666666666666
1974,253.27272727272728
1975,258.7368421052632
1976,242.33333333333334
1977,270.0
1978,238.3125
1979,253.83333333333334
1980,262.9166666666667
1981,253.66666666666666
1982,250.33333333333334
1983,222.4
1984,223.55555555555554
1985,238.45
1986,234.0
1987,275.3478260869565
1988,250.8125
1989,260.0
1990,266.9
1991,229.0952380952381
1992,225.91304347826087
1993,249.5
1994,248.95833333333334
1995,272.94736842105266
1996,225.78947368421052
1997,241.77777777777777
1998,217.71428571428572
1999,260.53846153846155
2000,273.07142857142856
2001,241.78571428571428
2002,204.0
2003,239.72222222222223
2004,253.76470588235293
2005,231.0
2006,230.35714285714286
2007,256.0
2008,239.28571428571428
2009,220.5
2010,218.71428571428572
2011,242.26315789473685
2012,241.3684210526316
2013,227.75
2014,231.07142857142858
2015,277.25
2016,232.85714285714286
2017,231.8148148148148
2018,228.5
2019,253.24
2020,267.1764705882353
2021,235.27586206896552
2022,226.44444444444446
2023,262.2631578947368
