release_year,count
1960,17
1961,17
1962,16
1963,11
1964,14
1965,11
1966,13
1967,18
1968,14
1969,9
1970,12
1971,19
1972,11
1973,12
1974,11
1975,19
1976,12
1977,10
1978,16
1979,12
1980,12
1981,15
1982,18
1983,20
1984,18
1985,20
1986,12
1987,23
1988,16
1989,12
1990,10
1991,21
1992,23
1993,8
1994,24
1995,19
1996,19
1997,9
1998,21
1999,13
2000,14
2001,14
2002,7
2003,18
2004,17
2005,9
2006,14
2007,16
2008,21
2009,12
2010,14
2011,19
2012,19
2013,16
2014,14
2015,8
2016,14
2017,27
2018,12
2019,25
2020,17
2021,29
2022,18
2023,19
